foil_ID, species, incident energy [keV], kF [keV*degrees], sig_kF [keV*degrees], psi_half [degrees], sigma [degrees], sig_sigma [degrees], kappa, sig_kappa
SN045, H, 5.000000, 14.466868, 0.325897, 2.813730, 3.068356, 0.003885, 1.850618, 0.004181
SN045, H, 10.000000, 14.466868, 0.325897, 1.458637, 1.597696, 0.002070, 1.936280, 0.003877
SN045, H, 15.000000, 14.466868, 0.325897, 0.958996, 1.046231, 0.001294, 1.858332, 0.003346
SN045, H, 20.000000, 14.466868, 0.325897, 0.741926, 0.809230, 0.001020, 1.854024, 0.003554
B06b, H, 5.000000, 18.197023, 0.642830, 3.651939, 4.002189, 0.004940, 1.947479, 0.004962
B06b, H, 10.000000, 18.197023, 0.642830, 1.859349, 2.038657, 0.002402, 1.957684, 0.003961
B06b, H, 15.000000, 18.197023, 0.642830, 1.247335, 1.367021, 0.001732, 1.948323, 0.004010
B06b, H, 20.000000, 18.197023, 0.642830, 0.876359, 0.956926, 0.001292, 1.874591, 0.003716
SN046, H, 5.000000, 15.659073, 0.203340, 3.102578, 3.383460, 0.003969, 1.851335, 0.004015
SN046, H, 10.000000, 15.659073, 0.203340, 1.561142, 1.709560, 0.002103, 1.932103, 0.003695
SN046, H, 15.000000, 15.659073, 0.203340, 1.064054, 1.163033, 0.001523, 1.892075, 0.003794
SN046, H, 20.000000, 15.659073, 0.203340, 0.777758, 0.849354, 0.001062, 1.876511, 0.003522
SN047, H, 5.000000, 18.999340, 0.074562, 3.794595, 4.158880, 0.005149, 1.949323, 0.005138
SN047, H, 10.000000, 18.999340, 0.074562, 1.896224, 2.078889, 0.002404, 1.955526, 0.003866
SN047, H, 15.000000, 18.999340, 0.074562, 1.274050, 1.396516, 0.001744, 1.951579, 0.003913
SN047, H, 20.000000, 18.999340, 0.074562, 0.947592, 1.038335, 0.001234, 1.944526, 0.003651
SN048, H, 5.000000, 13.424363, 0.434240, 2.598079, 2.817647, 0.003610, 1.754162, 0.003703
SN048, H, 10.000000, 13.424363, 0.434240, 1.328750, 1.449260, 0.001700, 1.853873, 0.003211
SN048, H, 15.000000, 13.424363, 0.434240, 0.935395, 1.020718, 0.001302, 1.863060, 0.003606
SN048, H, 20.000000, 13.424363, 0.434240, 0.670491, 0.729481, 0.000985, 1.806938, 0.003513
SN050, H, 5.000000, 19.865528, 0.299315, 3.914530, 4.288554, 0.004762, 1.940932, 0.004562
SN050, H, 10.000000, 19.865528, 0.299315, 1.977745, 2.173468, 0.002698, 2.005703, 0.004305
SN050, H, 15.000000, 19.865528, 0.299315, 1.322208, 1.449919, 0.001856, 1.960095, 0.004157
SN050, H, 20.000000, 19.865528, 0.299315, 1.014284, 1.114189, 0.001298, 1.996127, 0.003849
SN051, H, 5.000000, 19.638269, 0.205638, 3.915548, 4.290005, 0.005445, 1.942523, 0.005290
SN051, H, 10.000000, 19.638269, 0.205638, 1.965899, 2.162815, 0.002795, 2.031167, 0.004550
SN051, H, 15.000000, 19.638269, 0.205638, 1.327133, 1.458694, 0.001804, 2.007969, 0.004099
SN051, H, 20.000000, 19.638269, 0.205638, 0.970630, 1.064565, 0.001398, 1.963576, 0.004043
SN052, H, 5.000000, 17.676216, 0.639925, 3.457625, 3.774535, 0.004281, 1.870198, 0.004174
SN052, H, 10.000000, 17.676216, 0.639925, 1.746010, 1.913726, 0.002427, 1.950323, 0.004019
SN052, H, 15.000000, 17.676216, 0.639925, 1.155726, 1.266437, 0.001541, 1.945475, 0.003635
SN052, H, 20.000000, 17.676216, 0.639925, 0.932795, 1.022534, 0.001292, 1.953094, 0.004083
SN053, H, 5.000000, 15.566424, 0.237227, 3.067803, 3.343858, 0.003637, 1.841795, 0.003612
SN053, H, 10.000000, 15.566424, 0.237227, 1.545457, 1.692961, 0.001940, 1.939052, 0.003441
SN053, H, 15.000000, 15.566424, 0.237227, 1.059417, 1.160342, 0.001485, 1.934692, 0.003792
SN053, H, 20.000000, 15.566424, 0.237227, 0.779315, 0.851158, 0.001086, 1.878797, 0.003598
SN054, H, 5.000000, 15.800497, 0.288093, 3.111684, 3.394009, 0.004316, 1.854837, 0.004514
SN054, H, 10.000000, 15.800497, 0.288093, 1.554812, 1.703295, 0.002086, 1.940048, 0.003730
SN054, H, 15.000000, 15.800497, 0.288093, 1.071252, 1.173581, 0.001358, 1.939737, 0.003461
SN054, H, 20.000000, 15.800497, 0.288093, 0.801728, 0.876678, 0.001088, 1.901608, 0.003631
B06b, H, 5.000000, 18.197023, 0.642830, 3.619334, 3.947791, 0.005465, 1.855169, 0.005395
B06b, H, 10.000000, 18.197023, 0.642830, 1.857388, 2.036752, 0.002525, 1.960236, 0.004202
B06b, H, 15.000000, 18.197023, 0.642830, 1.255612, 1.376615, 0.001840, 1.956450, 0.004301
B06b, H, 20.000000, 18.197023, 0.642830, 0.873020, 0.953013, 0.001323, 1.869424, 0.003775
SN058, H, 5.000000, 17.038645, 0.139341, 3.366486, 3.684599, 0.004930, 1.919407, 0.005002
SN058, H, 10.000000, 17.038645, 0.139341, 1.713154, 1.877958, 0.002394, 1.952964, 0.004128
SN058, H, 15.000000, 17.038645, 0.139341, 1.139495, 1.249154, 0.001250, 1.953470, 0.003065
SN058, H, 20.000000, 17.038645, 0.139341, 0.854994, 0.934883, 0.001214, 1.900635, 0.003752
SN059, H, 5.000000, 15.003325, 0.584665, 2.851768, 3.109424, 0.003742, 1.848247, 0.003850
SN059, H, 10.000000, 15.003325, 0.584665, 1.493351, 1.636613, 0.001978, 1.947888, 0.003755
SN059, H, 15.000000, 15.003325, 0.584665, 1.043050, 1.142754, 0.001370, 1.941111, 0.003745
SN059, H, 20.000000, 15.003325, 0.584665, 0.760462, 0.831514, 0.001107, 1.900307, 0.003855
SN060, H, 5.000000, 15.743999, 0.530056, 3.047044, 3.320037, 0.004337, 1.835072, 0.004339
SN060, H, 10.000000, 15.743999, 0.530056, 1.544228, 1.691791, 0.002160, 1.941133, 0.003876
SN060, H, 15.000000, 15.743999, 0.530056, 1.059092, 1.157595, 0.001414, 1.891953, 0.003562
SN060, H, 20.000000, 15.743999, 0.530056, 0.821949, 0.899703, 0.000990, 1.922159, 0.003355
SN061, H, 5.000000, 16.685556, 0.342924, 3.242673, 3.536275, 0.004751, 1.851483, 0.004850
SN061, H, 10.000000, 16.685556, 0.342924, 1.669980, 1.830569, 0.002248, 1.952388, 0.003959
SN061, H, 15.000000, 16.685556, 0.342924, 1.122104, 1.230255, 0.001422, 1.956135, 0.003628
SN061, H, 20.000000, 16.685556, 0.342924, 0.850401, 0.931768, 0.001134, 1.942958, 0.003728
SN063, H, 5.000000, 14.520668, 0.468589, 2.784271, 3.029289, 0.002867, 1.806105, 0.002895
SN063, H, 10.000000, 14.520668, 0.468589, 1.451566, 1.586467, 0.001586, 1.891580, 0.002963
SN063, H, 15.000000, 14.520668, 0.468589, 0.974198, 1.065253, 0.001359, 1.901369, 0.003661
SN063, H, 20.000000, 14.520668, 0.468589, 0.752765, 0.822933, 0.000935, 1.896309, 0.003309
SN064, H, 5.000000, 20.687769, 0.322930, 4.099728, 4.495912, 0.005994, 1.960936, 0.006005
SN064, H, 10.000000, 20.687769, 0.322930, 2.087587, 2.299200, 0.002404, 2.056149, 0.004043
SN064, H, 15.000000, 20.687769, 0.322930, 1.356293, 1.490932, 0.001812, 2.011268, 0.004056
SN064, H, 20.000000, 20.687769, 0.322930, 1.051986, 1.157550, 0.001440, 2.033910, 0.004257
SN065, H, 5.000000, 17.183918, 0.160576, 3.390392, 3.715007, 0.003997, 1.944632, 0.004044
SN065, H, 10.000000, 17.183918, 0.160576, 1.721000, 1.886866, 0.002211, 1.956259, 0.003882
SN065, H, 15.000000, 17.183918, 0.160576, 1.151357, 1.262710, 0.001640, 1.962254, 0.004063
SN065, H, 20.000000, 17.183918, 0.160576, 0.865280, 0.948501, 0.001269, 1.952407, 0.004114
B06b, H, 5.000000, 18.197023, 0.642830, 3.365919, 3.625629, 0.005069, 1.648071, 0.003783
B06b, H, 10.000000, 18.197023, 0.642830, 1.845324, 2.023800, 0.002176, 1.963120, 0.003632
B06b, H, 15.000000, 18.197023, 0.642830, 1.242278, 1.361138, 0.001696, 1.942979, 0.003932
B06b, H, 20.000000, 18.197023, 0.642830, 0.869403, 0.948950, 0.001276, 1.867189, 0.003693
SN067, H, 5.000000, 18.514500, 0.165780, 3.660404, 4.011516, 0.005026, 1.947744, 0.004998
SN067, H, 10.000000, 18.514500, 0.165780, 1.849110, 2.027768, 0.001841, 1.961203, 0.003028
SN067, H, 15.000000, 18.514500, 0.165780, 1.246511, 1.366840, 0.001634, 1.959628, 0.003848
SN067, H, 20.000000, 18.514500, 0.165780, 0.928471, 1.016770, 0.001248, 1.931819, 0.003725
SN068, H, 5.000000, 17.541725, 0.121118, 3.516028, 3.836203, 0.003784, 1.861177, 0.003686
SN068, H, 10.000000, 17.541725, 0.121118, 1.750441, 1.917889, 0.002408, 1.943035, 0.003950
SN068, H, 15.000000, 17.541725, 0.121118, 1.159892, 1.271701, 0.001649, 1.956512, 0.003925
SN068, H, 20.000000, 17.541725, 0.121118, 0.884261, 0.966963, 0.000948, 1.902432, 0.002844
SN069, H, 5.000000, 17.035597, 0.197549, 3.356738, 3.660859, 0.004755, 1.852384, 0.004704
SN069, H, 10.000000, 17.035597, 0.197549, 1.697954, 1.861032, 0.002309, 1.950072, 0.004006
SN069, H, 15.000000, 17.035597, 0.197549, 1.144254, 1.254745, 0.001563, 1.959446, 0.003940
SN069, H, 20.000000, 17.035597, 0.197549, 0.860939, 0.943062, 0.001177, 1.937730, 0.003743
SN070, H, 5.000000, 12.859330, 0.203020, 2.518369, 2.722993, 0.003123, 1.709827, 0.003076
SN070, H, 10.000000, 12.859330, 0.203020, 1.297229, 1.414153, 0.001648, 1.844393, 0.003085
SN070, H, 15.000000, 12.859330, 0.203020, 0.870171, 0.946579, 0.001279, 1.804642, 0.003465
SN070, H, 20.000000, 12.859330, 0.203020, 0.641271, 0.694862, 0.000956, 1.738623, 0.003207
SN072, H, 5.000000, 12.185650, 0.344968, 2.349133, 2.546974, 0.002670, 1.749540, 0.002818
SN072, H, 10.000000, 12.185650, 0.344968, 1.247419, 1.359477, 0.001344, 1.838985, 0.002656
SN072, H, 15.000000, 12.185650, 0.344968, 0.829690, 0.903585, 0.001154, 1.825698, 0.003309
SN072, H, 20.000000, 12.185650, 0.344968, 0.604600, 0.654945, 0.000779, 1.731371, 0.002836
SN074, H, 5.000000, 12.693171, 0.465495, 2.413155, 2.617732, 0.003500, 1.757781, 0.003901
SN074, H, 10.000000, 12.693171, 0.465495, 1.265736, 1.372953, 0.001846, 1.757157, 0.003359
SN074, H, 15.000000, 12.693171, 0.465495, 0.872246, 0.948711, 0.001412, 1.802291, 0.003846
SN074, H, 20.000000, 12.693171, 0.465495, 0.649564, 0.703953, 0.001054, 1.741302, 0.003515
SN076, H, 5.000000, 16.903065, 0.283951, 3.301365, 3.599841, 0.004573, 1.849228, 0.004339
SN076, H, 10.000000, 16.903065, 0.283951, 1.695704, 1.858364, 0.001969, 1.947819, 0.003340
SN076, H, 15.000000, 16.903065, 0.283951, 1.132130, 1.240732, 0.001350, 1.947839, 0.003301
SN076, H, 20.000000, 16.903065, 0.283951, 0.858679, 0.940364, 0.001142, 1.932865, 0.003614
SN077, H, 5.000000, 15.169846, 0.333903, 2.949808, 3.213047, 0.003836, 1.829615, 0.003786
SN077, H, 10.000000, 15.169846, 0.333903, 1.509047, 1.646208, 0.001524, 1.857282, 0.002683
SN077, H, 15.000000, 15.169846, 0.333903, 1.034764, 1.130915, 0.001349, 1.891044, 0.003452
SN077, H, 20.000000, 15.169846, 0.333903, 0.766471, 0.836586, 0.001075, 1.866701, 0.003619
B06b, H, 5.000000, 18.197023, 0.642830, 3.621336, 3.968741, 0.004935, 1.947966, 0.005024
B06b, H, 10.000000, 18.197023, 0.642830, 1.845368, 2.023198, 0.002169, 1.956324, 0.003533
B06b, H, 15.000000, 18.197023, 0.642830, 1.242225, 1.361385, 0.001798, 1.947767, 0.004167
B06b, H, 20.000000, 18.197023, 0.642830, 0.924634, 1.012253, 0.001623, 1.925341, 0.004858
SN078, H, 5.000000, 17.795069, 0.441783, 3.576389, 3.905872, 0.005264, 1.877782, 0.005139
SN078, H, 10.000000, 17.795069, 0.441783, 1.756722, 1.924972, 0.002310, 1.945135, 0.003714
SN078, H, 15.000000, 17.795069, 0.441783, 1.157609, 1.268522, 0.001998, 1.945822, 0.004648
SN078, H, 20.000000, 17.795069, 0.441783, 0.919174, 1.006060, 0.001711, 1.920911, 0.005133
SN079, H, 5.000000, 17.399889, 0.131860, 3.517646, 3.848928, 0.005177, 1.915918, 0.005283
SN079, H, 10.000000, 17.399889, 0.131860, 1.735964, 1.902618, 0.001871, 1.949292, 0.003079
SN079, H, 15.000000, 17.399889, 0.131860, 1.151910, 1.262533, 0.001712, 1.949850, 0.004048
SN079, H, 20.000000, 17.399889, 0.131860, 0.868726, 0.951524, 0.001586, 1.936426, 0.004929
SN081, H, 5.000000, 22.239868, 0.149631, 4.485082, 4.915926, 0.006240, 1.950459, 0.006083
SN081, H, 10.000000, 22.239868, 0.149631, 2.206005, 2.428839, 0.002624, 2.048432, 0.003859
SN081, H, 15.000000, 22.239868, 0.149631, 1.481551, 1.630651, 0.001696, 2.040450, 0.003462
SN081, H, 20.000000, 22.239868, 0.149631, 1.112613, 1.224729, 0.001692, 2.043326, 0.004620
SN082, H, 5.000000, 22.017679, 0.122915, 4.391241, 4.812888, 0.006577, 1.949658, 0.006032
SN082, H, 10.000000, 22.017679, 0.122915, 2.187521, 2.408411, 0.002448, 2.047651, 0.003604
SN082, H, 15.000000, 22.017679, 0.122915, 1.474014, 1.622384, 0.001915, 2.040814, 0.003978
SN082, H, 20.000000, 22.017679, 0.122915, 1.106506, 1.215961, 0.002024, 2.002914, 0.005487
SN083, H, 5.000000, 16.895487, 0.205069, 3.326620, 3.627735, 0.003103, 1.851006, 0.003025
SN083, H, 10.000000, 16.895487, 0.205069, 1.692110, 1.854374, 0.002458, 1.947228, 0.004126
SN083, H, 15.000000, 16.895487, 0.205069, 1.126574, 1.234430, 0.002078, 1.944374, 0.004955
SN083, H, 20.000000, 16.895487, 0.205069, 0.856643, 0.938399, 0.001548, 1.938577, 0.004932
SN084, H, 5.000000, 16.373165, 0.367692, 3.179176, 3.466521, 0.003458, 1.848709, 0.003310
SN084, H, 10.000000, 16.373165, 0.367692, 1.646286, 1.803266, 0.002406, 1.936757, 0.004096
SN084, H, 15.000000, 16.373165, 0.367692, 1.090966, 1.195322, 0.001639, 1.942437, 0.004008
SN084, H, 20.000000, 16.373165, 0.367692, 0.839089, 0.918932, 0.001732, 1.932847, 0.005702
SN085, H, 5.000000, 18.444925, 0.301818, 3.614628, 3.960577, 0.005462, 1.943603, 0.005321
SN085, H, 10.000000, 18.444925, 0.301818, 1.833754, 2.012110, 0.003119, 1.973531, 0.005199
SN085, H, 15.000000, 18.444925, 0.301818, 1.242922, 1.362811, 0.001126, 1.958140, 0.002618
SN085, H, 20.000000, 18.444925, 0.301818, 0.936629, 1.026348, 0.001085, 1.945009, 0.003288
SN086, H, 5.000000, 18.485594, 0.268826, 3.629359, 3.978088, 0.004424, 1.950935, 0.004576
SN086, H, 10.000000, 18.485594, 0.268826, 1.840396, 2.016484, 0.003758, 1.943084, 0.006025
SN086, H, 15.000000, 18.485594, 0.268826, 1.243800, 1.363238, 0.001550, 1.949756, 0.003561
SN086, H, 20.000000, 18.485594, 0.268826, 0.937023, 1.026931, 0.001373, 1.948127, 0.004203
SN088, H, 5.000000, 19.369804, 0.193018, 3.829395, 4.196619, 0.004527, 1.947402, 0.004373
SN088, H, 10.000000, 19.369804, 0.193018, 1.940931, 2.128763, 0.002588, 1.963607, 0.004132
SN088, H, 15.000000, 19.369804, 0.193018, 1.307341, 1.436522, 0.002218, 2.001383, 0.005100
SN088, H, 20.000000, 19.369804, 0.193018, 0.965784, 1.058942, 0.001686, 1.957618, 0.004918
SN089, H, 5.000000, 22.392012, 0.095165, 4.477595, 4.907666, 0.003953, 1.950232, 0.003798
SN089, H, 10.000000, 22.392012, 0.095165, 2.226051, 2.450994, 0.002950, 2.049255, 0.004465
SN089, H, 15.000000, 22.392012, 0.095165, 1.498420, 1.649765, 0.001687, 2.048213, 0.003609
SN089, H, 20.000000, 22.392012, 0.095165, 1.122193, 1.233553, 0.001552, 2.009358, 0.004244
B06b, H, 5.000000, 18.197023, 0.642830, 3.624168, 3.971535, 0.005208, 1.946304, 0.005254
B06b, H, 10.000000, 18.197023, 0.642830, 1.843746, 2.022208, 0.002487, 1.964561, 0.004134
B06b, H, 15.000000, 18.197023, 0.642830, 1.241184, 1.361484, 0.001728, 1.967217, 0.004147
B06b, H, 20.000000, 18.197023, 0.642830, 0.907258, 0.992340, 0.001197, 1.907062, 0.003564
SN090, H, 5.000000, 14.685439, 0.269515, 2.866649, 3.125653, 0.003774, 1.848273, 0.003860
SN090, H, 10.000000, 14.685439, 0.269515, 1.482084, 1.623788, 0.001810, 1.941694, 0.003327
SN090, H, 15.000000, 14.685439, 0.269515, 0.976086, 1.065971, 0.001274, 1.877284, 0.003343
SN090, H, 20.000000, 14.685439, 0.269515, 0.747689, 0.815618, 0.000596, 1.856278, 0.002057
SN091, H, 5.000000, 9.913231, 0.620294, 1.956005, 2.120672, 0.002810, 1.749042, 0.003333
SN091, H, 10.000000, 9.913231, 0.620294, 1.071906, 1.168402, 0.001601, 1.842143, 0.003601
SN091, H, 15.000000, 9.913231, 0.620294, 0.666668, 0.722996, 0.000946, 1.753120, 0.002959
SN091, H, 20.000000, 9.913231, 0.620294, 0.460610, 0.494641, 0.000826, 1.601757, 0.003145
SN092, H, 5.000000, 14.881224, 0.557104, 2.832841, 3.071562, 0.004190, 1.750297, 0.003947
SN092, H, 10.000000, 14.881224, 0.557104, 1.490594, 1.625932, 0.001695, 1.855760, 0.002976
SN092, H, 15.000000, 14.881224, 0.557104, 1.034151, 1.128907, 0.001344, 1.870516, 0.003379
SN092, H, 20.000000, 14.881224, 0.557104, 0.748683, 0.816051, 0.001054, 1.841403, 0.003420
SN093, H, 5.000000, 12.210242, 0.434731, 2.327078, 2.523093, 0.002910, 1.749731, 0.003083
SN093, H, 10.000000, 12.210242, 0.434731, 1.217841, 1.325936, 0.001662, 1.821500, 0.003316
SN093, H, 15.000000, 12.210242, 0.434731, 0.827120, 0.900834, 0.001176, 1.826649, 0.003392
SN093, H, 20.000000, 12.210242, 0.434731, 0.632173, 0.687098, 0.000875, 1.789133, 0.003337
SN094, H, 5.000000, 11.934776, 0.558145, 2.332417, 2.528880, 0.003437, 1.749724, 0.003641
SN094, H, 10.000000, 11.934776, 0.558145, 1.242812, 1.354213, 0.001679, 1.835562, 0.003267
SN094, H, 15.000000, 11.934776, 0.558145, 0.825907, 0.899379, 0.000767, 1.823894, 0.002174
SN094, H, 20.000000, 11.934776, 0.558145, 0.564967, 0.610990, 0.000860, 1.706010, 0.003126
SN095, H, 5.000000, 13.145531, 0.167921, 2.615554, 2.841153, 0.003419, 1.778871, 0.003597
SN095, H, 10.000000, 13.145531, 0.167921, 1.339444, 1.461183, 0.001556, 1.857080, 0.002931
SN095, H, 15.000000, 13.145531, 0.167921, 0.867781, 0.945904, 0.001240, 1.842723, 0.003356
SN095, H, 20.000000, 13.145531, 0.167921, 0.654821, 0.710481, 0.000948, 1.760578, 0.003260
SN096, H, 5.000000, 14.359846, 0.523628, 2.725997, 2.955713, 0.003432, 1.750295, 0.003333
SN096, H, 10.000000, 14.359846, 0.523628, 1.442463, 1.574484, 0.001743, 1.868661, 0.003173
SN096, H, 15.000000, 14.359846, 0.523628, 0.973107, 1.062617, 0.001431, 1.875527, 0.003783
SN096, H, 20.000000, 14.359846, 0.523628, 0.740828, 0.807741, 0.001048, 1.847166, 0.003557
SN097, H, 5.000000, 12.628187, 0.288489, 2.443503, 2.650243, 0.003391, 1.755366, 0.003501
SN097, H, 10.000000, 12.628187, 0.288489, 1.287572, 1.403673, 0.001810, 1.844953, 0.003377
SN097, H, 15.000000, 12.628187, 0.288489, 0.848625, 0.922978, 0.000993, 1.801412, 0.002703
SN097, H, 20.000000, 12.628187, 0.288489, 0.634998, 0.688401, 0.000896, 1.747010, 0.003189
SN099, H, 5.000000, 11.293813, 0.347007, 2.237393, 2.425711, 0.002052, 1.748732, 0.002165
SN099, H, 10.000000, 11.293813, 0.347007, 1.165905, 1.268751, 0.001568, 1.810864, 0.003127
SN099, H, 15.000000, 11.293813, 0.347007, 0.765094, 0.830287, 0.001105, 1.763993, 0.003093
SN099, H, 20.000000, 11.293813, 0.347007, 0.543439, 0.586860, 0.000792, 1.683041, 0.002802
B06b, H, 5.000000, 18.197023, 0.642830, 3.398086, 3.705477, 0.006479, 1.850075, 0.006561
B06b, H, 10.000000, 18.197023, 0.642830, 1.735110, 1.901102, 0.003163, 1.943131, 0.005252
B06b, H, 15.000000, 18.197023, 0.642830, 1.152457, 1.260652, 0.002038, 1.908053, 0.004684
B06b, H, 20.000000, 18.197023, 0.642830, 0.864249, 0.943299, 0.001656, 1.866709, 0.004913
SN230, H, 5.000000, 19.481827, 0.358370, 3.809039, 4.153568, 0.007725, 1.849899, 0.007450
SN230, H, 10.000000, 19.481827, 0.358370, 1.979814, 2.175692, 0.003411, 2.005191, 0.005571
SN230, H, 15.000000, 19.481827, 0.358370, 1.316808, 1.443569, 0.002462, 1.954090, 0.005373
SN230, H, 20.000000, 19.481827, 0.358370, 0.967087, 1.058994, 0.002101, 1.931297, 0.005811
SN231, H, 5.000000, 21.289083, 0.485168, 4.114895, 4.466782, 0.008536, 1.767791, 0.007539
SN231, H, 10.000000, 21.289083, 0.485168, 2.149930, 2.367069, 0.003351, 2.048101, 0.005275
SN231, H, 15.000000, 21.289083, 0.485168, 1.436296, 1.577481, 0.002465, 1.992219, 0.005217
SN231, H, 20.000000, 21.289083, 0.485168, 1.077729, 1.183848, 0.002206, 1.994007, 0.006122
SN232, H, 5.000000, 20.272873, 0.483111, 3.938245, 4.295206, 0.007305, 1.853085, 0.006988
SN232, H, 10.000000, 20.272873, 0.483111, 2.045419, 2.242982, 0.003605, 1.960631, 0.005571
SN232, H, 15.000000, 20.272873, 0.483111, 1.342338, 1.471224, 0.002292, 1.949555, 0.004754
SN232, H, 20.000000, 20.272873, 0.483111, 1.041413, 1.140783, 0.002119, 1.937805, 0.005771
SN233, H, 5.000000, 20.447960, 0.518311, 3.943089, 4.274605, 0.007316, 1.747389, 0.006158
SN233, H, 10.000000, 20.447960, 0.518311, 2.073046, 2.273082, 0.003507, 1.958917, 0.005430
SN233, H, 15.000000, 20.447960, 0.518311, 1.366933, 1.499941, 0.002576, 1.973393, 0.005514
SN233, H, 20.000000, 20.447960, 0.518311, 1.043076, 1.142363, 0.002163, 1.933249, 0.005768
SN234, H, 5.000000, 19.715300, 0.406803, 3.834070, 4.180357, 0.007139, 1.847716, 0.006637
SN234, H, 10.000000, 19.715300, 0.406803, 1.965740, 2.156295, 0.003459, 1.966732, 0.005431
SN234, H, 15.000000, 19.715300, 0.406803, 1.336592, 1.465166, 0.002345, 1.952825, 0.004981
SN234, H, 20.000000, 19.715300, 0.406803, 0.999855, 1.093108, 0.002142, 1.897686, 0.005689
SN235, H, 5.000000, 21.102367, 0.343316, 4.120424, 4.494036, 0.007004, 1.853821, 0.006736
SN235, H, 10.000000, 21.102367, 0.343316, 2.118896, 2.332481, 0.003533, 2.043771, 0.005526
SN235, H, 15.000000, 21.102367, 0.343316, 1.418936, 1.555154, 0.002499, 1.949821, 0.005193
SN235, H, 20.000000, 21.102367, 0.343316, 1.067134, 1.169348, 0.002225, 1.944838, 0.005873
SN238, H, 5.000000, 15.668531, 0.339753, 3.056677, 3.315466, 0.005893, 1.756461, 0.005732
SN238, H, 10.000000, 15.668531, 0.339753, 1.582679, 1.729257, 0.002737, 1.886399, 0.004666
SN238, H, 15.000000, 15.668531, 0.339753, 1.070423, 1.167314, 0.001912, 1.850890, 0.004482
SN238, H, 20.000000, 15.668531, 0.339753, 0.775933, 0.844092, 0.001567, 1.805056, 0.004696
SN239, H, 5.000000, 15.170092, 0.408630, 2.947731, 3.215855, 0.005248, 1.858439, 0.005768
SN239, H, 10.000000, 15.170092, 0.408630, 1.516672, 1.658776, 0.002751, 1.904896, 0.004945
SN239, H, 15.000000, 15.170092, 0.408630, 1.048414, 1.144048, 0.001841, 1.863395, 0.004543
SN239, H, 20.000000, 15.170092, 0.408630, 0.753267, 0.820801, 0.001645, 1.836074, 0.005257
B06b, H, 10.000000, 18.197023, 0.642830, 1.735501, 1.901351, 0.002997, 1.941233, 0.004966
B06b, H, 15.000000, 18.197023, 0.642830, 1.155427, 1.263895, 0.001918, 1.908058, 0.004367
B06b, H, 20.000000, 18.197023, 0.642830, 0.877027, 0.957909, 0.001719, 1.879546, 0.005208
B06b, H, 5.000000, 18.197023, 0.642830, 3.356737, 3.660688, 0.006749, 1.851546, 0.007027
SN236, H, 10.000000, 20.278126, 0.560207, 2.049460, 2.245526, 0.003889, 1.942836, 0.005887
SN236, H, 15.000000, 20.278126, 0.560207, 1.352944, 1.483524, 0.002550, 1.958728, 0.005348
SN236, H, 20.000000, 20.278126, 0.560207, 1.041431, 1.140476, 0.001754, 1.931680, 0.004671
SN236, H, 5.000000, 20.278126, 0.560207, 3.903645, 4.234263, 0.008611, 1.756664, 0.007654
SN237, H, 10.000000, 20.453440, 0.653628, 2.073850, 2.274159, 0.003571, 1.960755, 0.005585
SN237, H, 15.000000, 20.453440, 0.653628, 1.360735, 1.492790, 0.002153, 1.968558, 0.004608
SN237, H, 20.000000, 20.453440, 0.653628, 1.055425, 1.156828, 0.001687, 1.950694, 0.004628
SN237, H, 5.000000, 20.453440, 0.653628, 3.917379, 4.248810, 0.008632, 1.755343, 0.007532
B06b, H, 5.000000, 18.197023, 0.642830, 3.664737, 4.016194, 0.004759, 1.947368, 0.004698
B06b, H, 10.000000, 18.197023, 0.642830, 1.867715, 2.047815, 0.003401, 1.957518, 0.005514
B06b, H, 15.000000, 18.197023, 0.642830, 1.253126, 1.374107, 0.002392, 1.959842, 0.005519
B06b, H, 20.000000, 18.197023, 0.642830, 0.940481, 1.030634, 0.001943, 1.946303, 0.005810
SN419, H, 5.000000, 14.188498, 0.419154, 2.742001, 2.989822, 0.004156, 1.848679, 0.004331
SN419, H, 10.000000, 14.188498, 0.419154, 1.413057, 1.544699, 0.002721, 1.895969, 0.005101
SN419, H, 15.000000, 14.188498, 0.419154, 0.946524, 1.033060, 0.001758, 1.866446, 0.004796
SN419, H, 20.000000, 14.188498, 0.419154, 0.736708, 0.803298, 0.001597, 1.848413, 0.005574
SN420, H, 5.000000, 15.477769, 0.209679, 3.047288, 3.319323, 0.004513, 1.829507, 0.004419
SN420, H, 10.000000, 15.477769, 0.209679, 1.546227, 1.693675, 0.002762, 1.937497, 0.004840
SN420, H, 15.000000, 15.477769, 0.209679, 1.049945, 1.147550, 0.002436, 1.891387, 0.006132
SN420, H, 20.000000, 15.477769, 0.209679, 0.773372, 0.844251, 0.001893, 1.869615, 0.006113
SN421, H, 5.000000, 22.431286, 0.100038, 4.476513, 4.906381, 0.006517, 1.949809, 0.006023
SN421, H, 10.000000, 22.431286, 0.100038, 2.233736, 2.454182, 0.004349, 1.997085, 0.006343
SN421, H, 15.000000, 22.431286, 0.100038, 1.504575, 1.656165, 0.002898, 2.043053, 0.005870
SN421, H, 20.000000, 22.431286, 0.100038, 1.121863, 1.232978, 0.002221, 2.005604, 0.005870
B06b, H, 5.000000, 18.197023, 0.642830, 3.635469, 3.964578, 0.005636, 1.851251, 0.005359
