foil_ID, species, incident energy [keV], kF [keV*degrees], sig_kF [keV*degrees], psi_half [degrees], sigma [degrees], sig_sigma [degrees], kappa, sig_kappa
C112, H, 15.000000, 19.972023, 0.640029, 1.342561, 1.471560, 0.002816, 1.950811, 0.005810
C112, H, 20.000000, 19.972023, 0.640029, 1.052751, 1.154064, 0.001769, 1.953820, 0.004847
C118, H, 5.000000, 16.591311, 0.305494, 3.240197, 3.533517, 0.006427, 1.851181, 0.006438
C118, H, 10.000000, 16.591311, 0.305494, 1.672538, 1.832941, 0.003864, 1.947383, 0.006723
C118, H, 15.000000, 16.591311, 0.305494, 1.102165, 1.202307, 0.002237, 1.856616, 0.005158
C118, H, 20.000000, 16.591311, 0.305494, 0.845741, 0.922774, 0.001662, 1.860530, 0.005058
C135, H, 5.000000, 16.999144, 0.314068, 3.316946, 3.617001, 0.003669, 1.850085, 0.003419
C135, H, 10.000000, 16.999144, 0.314068, 1.702070, 1.865022, 0.002407, 1.944310, 0.003852
C135, H, 15.000000, 16.999144, 0.314068, 1.137095, 1.244041, 0.002394, 1.910763, 0.005439
C135, H, 20.000000, 16.999144, 0.314068, 0.867171, 0.948328, 0.001731, 1.903445, 0.005236
L007, H, 5.000000, 21.107273, 0.286270, 4.148279, 4.546254, 0.002102, 1.948045, 0.001940
L007, H, 10.000000, 21.107273, 0.286270, 2.105683, 2.317796, 0.003359, 2.042343, 0.005072
L007, H, 15.000000, 21.107273, 0.286270, 1.414652, 1.553979, 0.002507, 1.996133, 0.005232
L007, H, 20.000000, 21.107273, 0.286270, 1.070845, 1.174120, 0.001768, 1.957793, 0.004794
L008, H, 5.000000, 22.697344, 0.212362, 4.483526, 4.914049, 0.004463, 1.949732, 0.003982
L008, H, 10.000000, 22.697344, 0.212362, 2.292477, 2.524261, 0.003907, 2.050434, 0.005730
L008, H, 15.000000, 22.697344, 0.212362, 1.517729, 1.670655, 0.002668, 2.043295, 0.005306
L008, H, 20.000000, 22.697344, 0.212362, 1.134200, 1.246617, 0.001967, 2.007260, 0.005060
DF_SN1, H, 5.000000, 12.305042, 0.624077, 2.376141, 2.590655, 0.002001, 1.847102, 0.002222
DF_SN1, H, 10.000000, 12.305042, 0.624077, 1.262766, 1.377790, 0.001587, 1.861124, 0.003271
DF_SN1, H, 15.000000, 12.305042, 0.624077, 0.849072, 0.925800, 0.000985, 1.848186, 0.002765
DF_SN1, H, 20.000000, 12.305042, 0.624077, 0.639805, 0.695935, 0.001262, 1.802597, 0.004769
DF_SN2, H, 5.000000, 9.981655, 0.419606, 1.921727, 2.070630, 0.003094, 1.652367, 0.003499
DF_SN2, H, 10.000000, 9.981655, 0.419606, 1.044219, 1.124032, 0.001754, 1.637600, 0.003179
DF_SN2, H, 15.000000, 9.981655, 0.419606, 0.660789, 0.707363, 0.001281, 1.561122, 0.003141
DF_SN4, H, 5.000000, 10.855988, 0.834311, 2.141698, 2.334933, 0.003051, 1.845833, 0.003651
DF_SN4, H, 10.000000, 10.855988, 0.834311, 1.120542, 1.221668, 0.001080, 1.846339, 0.002224
DF_SN4, H, 15.000000, 10.855988, 0.834311, 0.758723, 0.825404, 0.000919, 1.805557, 0.002780
DF_SN4, H, 20.000000, 10.855988, 0.834311, 0.550827, 0.596824, 0.000886, 1.735472, 0.003465
DF_SN1, Ar, 10.000000, 110.026184, 6.174244, 10.293977, 10.383622, 0.010388, 1.049365, 0.003109
DF_SN1, Ar, 20.000000, 110.026184, 6.174244, 5.266438, 5.311976, 0.004531, 1.048991, 0.001314
DF_SN1, Ar, 30.000000, 110.026184, 6.174244, 3.675631, 3.766845, 0.002864, 1.148464, 0.001100
DF_SN1, Ar, 40.000000, 110.026184, 6.174244, 2.861351, 2.973193, 0.002132, 1.252667, 0.001106
DF_SN1, Ar, 50.000000, 110.026184, 6.174244, 2.356653, 2.475543, 0.001779, 1.349865, 0.001133
DF_SN1, H, 1.000000, 12.305042, 0.624077, 12.289425, 13.218879, 0.020161, 1.635676, 0.013706
DF_SN1, H, 2.000000, 12.305042, 0.624077, 5.508849, 5.842999, 0.008626, 1.450402, 0.004356
DF_SN1, H, 3.000000, 12.305042, 0.624077, 3.828380, 4.124187, 0.004154, 1.649481, 0.002943
DF_SN1, H, 4.000000, 12.305042, 0.624077, 3.048734, 3.321418, 0.004878, 1.832446, 0.004731
DF_SN1, H, 5.000000, 12.305042, 0.624077, 2.436733, 2.657728, 0.002093, 1.853944, 0.002371
DF_SN1, H, 10.000000, 12.305042, 0.624077, 1.304884, 1.429774, 0.001997, 1.943743, 0.004004
DF_SN1, H, 15.000000, 12.305042, 0.624077, 0.859815, 0.938245, 0.002013, 1.862545, 0.005701
DF_SN1, H, 20.000000, 12.305042, 0.624077, 0.633731, 0.688670, 0.001117, 1.786016, 0.003918
DF_SN1, He, 10.000000, 23.284151, 1.196945, 2.211788, 2.397886, 0.004692, 1.748249, 0.004922
DF_SN1, He, 20.000000, 23.284151, 1.196945, 1.164163, 1.268295, 0.002997, 1.833262, 0.006013
DF_SN1, He, 30.000000, 23.284151, 1.196945, 0.817096, 0.889438, 0.002990, 1.816723, 0.008569
